sex,age,rf_ldl,rf_sbp,rf_lpa,rf_lsi,rf_dmp
1,26.299999,3.0872641,120.23188,22,.28829253,.005469088
1,26.4,3.0917859,120.25488,22,.29129058,.0055125621
1,26.5,3.0962846,120.27689,22,.29430097,.0055564223
1,26.6,3.1007597,120.29794,22,.29730082,.0056006741
1,26.700001,3.1052115,120.31803,22,.3003259,.0056453217
1,26.799999,3.1096392,120.33719,22,.30337229,.0056903688
1,26.9,3.114043,120.35542,22,.30634701,.0057358234
1,27,3.1184227,120.37274,22,.30935714,.0057816883
1,27.1,3.1227782,120.38918,22,.31236762,.0058279699
1,27.200001,3.1271091,120.40475,22,.31533521,.0058746724
1,27.299999,3.1314154,120.41946,22,.31830639,.0059218006
1,27.4,3.1356971,120.43333,22,.32128486,.0059693619
1,27.5,3.1399536,120.44637,22,.3243008,.0060173608
1,27.6,3.1441851,120.45861,22,.32729793,.0060658022
1,27.700001,3.1483915,120.47005,22,.33022398,.0061146924
1,27.799999,3.1525726,120.48073,22,.3331731,.0061640362
1,27.9,3.1567287,120.49064,22,.33615094,.006213841
1,28,3.1608596,120.49981,22,.3390646,.006264112
1,28.1,3.1649652,120.50826,22,.34197122,.0063148551
1,28.200001,3.1690454,120.51599,22,.3449015,.0063660759
1,28.299999,3.1731002,120.52303,22,.34783137,.0064177802
1,28.4,3.17713,120.5294,22,.3507027,.0064699762
1,28.5,3.1811345,120.5351,22,.35362098,.006522669
1,28.6,3.1851134,120.54015,22,.35653293,.0065758647
1,28.700001,3.1890671,120.54459,22,.35947394,.0066295709
1,28.799999,3.1929951,120.5484,22,.36241862,.0066837925
1,28.9,3.196898,120.55162,22,.3652395,.0067385384
1,29,3.2007754,120.55427,22,.36808258,.0067938147
1,29.1,3.2046273,120.55634,22,.37094831,.0068496279
1,29.200001,3.2084537,120.55788,22,.37382787,.0069059855
1,29.299999,3.2122545,120.55888,22,.37665889,.0069628935
1,29.4,3.2160299,120.55936,22,.37950602,.0070203617
1,29.5,3.2197795,120.55935,22,.38236725,.0070783957
1,29.6,3.2235036,120.55885,22,.38517189,.0071370034
1,29.700001,3.2272022,120.5579,22,.38801032,.0071961926
1,29.799999,3.230875,120.55649,22,.39085412,.0072559696
1,29.9,3.2345223,120.55464,22,.39366144,.0073163449
1,30,3.2381439,120.55238,22,.39640325,.0073773256
1,30.1,3.2417397,120.54973,22,.39922789,.007438919
1,30.200001,3.2453101,120.54668,22,.40200725,.0075011342
1,30.299999,3.2488544,120.54327,22,.40479019,.007563978
1,30.4,3.252373,120.53951,22,.40755504,.0076274616
1,30.5,3.2558658,120.53541,22,.41032845,.007691592
1,30.6,3.2593327,120.53099,22,.41313893,.0077563785
1,30.700001,3.262774,120.52627,22,.41593236,.00782183
1,30.799999,3.2661891,120.52126,22,.41869426,.0078879539
1,30.9,3.2695785,120.51598,22,.4214282,.0079547623
1,31,3.2729421,120.51044,22,.42411238,.0080222636
1,31.1,3.2762794,120.50468,22,.42681509,.0080904672
1,31.200001,3.2795911,120.49869,22,.42957175,.0081593823
1,31.299999,3.2828767,120.49249,22,.43227851,.0082290182
1,31.4,3.2861362,120.4861,22,.43496302,.0082993871
1,31.5,3.2893698,120.47954,22,.43767583,.0083704973
1,31.6,3.2925773,120.47282,22,.4403998,.00844236
1,31.700001,3.2957587,120.46597,22,.44310796,.0085149854
1,31.799999,3.298914,120.45899,22,.44576034,.008588383
1,31.9,3.3020432,120.4519,22,.44838703,.0086625665
1,32,3.3051462,120.44473,22,.45100337,.0087375445
1,32.099998,3.308223,120.43747,22,.45358613,.0088133281
1,32.200001,3.3112736,120.43016,22,.45624396,.0088899322
1,32.299999,3.3142982,120.42281,22,.45889002,.0089673633
1,32.400002,3.3172963,120.41542,22,.46153101,.0090456381
1,32.5,3.3202682,120.40803,22,.46412665,.0091247624
1,32.599998,3.3232138,120.40064,22,.46667805,.0092047527
1,32.700001,3.3261333,120.39328,22,.46926886,.0092856241
1,32.799999,3.3290262,120.38596,22,.47186881,.0093673822
1,32.900002,3.331893,120.37869,22,.47445959,.0094500473
1,33,3.334733,120.37149,22,.4770582,.0095336242
1,33.099998,3.3375468,120.36438,22,.47962579,.0096181305
1,33.200001,3.3403344,120.35738,22,.48221439,.0097035822
1,33.299999,3.3430953,120.35049,22,.48479033,.0097899875
1,33.400002,3.3458297,120.34374,22,.48734477,.009877366
1,33.5,3.3485377,120.33715,22,.48990279,.0099657252
1,33.599998,3.3512192,120.33072,22,.49245939,.010055084
1,33.700001,3.3538742,120.32448,22,.494975,.010145458
1,33.799999,3.3565025,120.31844,22,.49747825,.010236857
1,33.900002,3.3591044,120.31261,22,.49999607,.010329302
1,34,3.3616796,120.30703,22,.50247777,.010422803
1,34.099998,3.364228,120.30169,22,.50494933,.010517376
1,34.200001,3.3667498,120.29662,22,.50741845,.010613044
1,34.299999,3.3692451,120.29183,22,.50989515,.010709814
1,34.400002,3.3717134,120.28735,22,.51235163,.01080771
1,34.5,3.3741553,120.28317,22,.51481879,.010906741
1,34.599998,3.37657,120.27933,22,.51728588,.011006927
1,34.700001,3.3789582,120.27583,22,.5197289,.011108291
1,34.799999,3.3813198,120.27271,22,.52215242,.011210842
1,34.900002,3.3836544,120.26996,22,.52457285,.011314605
1,35,3.385962,120.26761,22,.52697134,.011419591
1,35.099998,3.3882427,120.26567,22,.52936858,.011525823
1,35.200001,3.3904967,120.26416,22,.53172791,.011633322
1,35.299999,3.3927238,120.26309,22,.53409255,.0117421
1,35.400002,3.3949239,120.2625,22,.5364722,.011852185
1,35.5,3.3970971,120.26237,22,.53884435,.011963588
1,35.599998,3.3992431,120.26274,22,.54115462,.012076334
1,35.700001,3.4013622,120.26363,22,.54344821,.012190446
1,35.799999,3.4034543,120.26504,22,.54576176,.012305939
1,35.900002,3.4055195,120.26699,22,.5480327,.012422841
1,36,3.4075572,120.2695,22,.55034935,.012541165
1,36.099998,3.4095681,120.27259,22,.55267549,.012660937
1,36.200001,3.411552,120.27628,22,.55497694,.012782185
1,36.299999,3.4135084,120.28056,22,.557266,.012904922
1,36.400002,3.4154379,120.28548,22,.55950761,.013029181
1,36.5,3.41734,120.29103,22,.56177783,.013154975
1,36.599998,3.419215,120.29724,22,.5639984,.013282334
1,36.700001,3.4210627,120.30413,22,.56622553,.013411286
1,36.799999,3.422883,120.31171,22,.56845903,.013541847
1,36.900002,3.4246764,120.31999,22,.57061899,.013674052
1,37,3.4264421,120.32899,22,.57285327,.013807917
1,37.099998,3.4281807,120.33874,22,.57501876,.013943472
1,37.200001,3.4298918,120.34924,22,.57722473,.01408075
1,37.299999,3.4315755,120.3605,22,.57940191,.014219767
1,37.400002,3.4332318,120.37256,22,.58150697,.014360563
1,37.5,3.4348609,120.38542,22,.58364332,.014503154
1,37.599998,3.4364622,120.39909,22,.58578867,.014647571
1,37.700001,3.4380362,120.41359,22,.58790195,.014793841
1,37.799999,3.4395828,120.42889,22,.59004462,.014941968
1,37.900002,3.4411018,120.44498,22,.59209859,.015091983
1,38,3.4425931,120.46187,22,.59418285,.01524389
1,38.099998,3.444057,120.47955,22,.59634155,.015397713
1,38.200001,3.4454932,120.498,22,.59846723,.015553475
1,38.299999,3.4469018,120.51723,22,.60051978,.015711183
1,38.400002,3.448283,120.53722,22,.60262293,.015870864
1,38.5,3.4496362,120.55797,22,.60466135,.016032524
1,38.599998,3.4509618,120.57948,22,.60665071,.016196189
1,38.700001,3.4522598,120.60172,22,.60865259,.016361883
1,38.799999,3.4535298,120.62471,22,.61063021,.016529607
1,38.900002,3.4547725,120.64843,22,.61261612,.016699394
1,39,3.455987,120.67287,22,.61459994,.016871247
1,39.099998,3.4571738,120.69804,22,.61662346,.017045194
1,39.200001,3.4583328,120.72391,22,.61853534,.017221255
1,39.299999,3.4594641,120.75048,22,.62047136,.017399436
1,39.400002,3.4605675,120.77776,22,.62237442,.017579766
1,39.5,3.4616427,120.80573,22,.62432379,.017762251
1,39.599998,3.4626901,120.83437,22,.62628782,.017946916
1,39.700001,3.4637098,120.8637,22,.62820792,.018133782
1,39.799999,3.4647014,120.8937,22,.63009584,.018322855
1,39.900002,3.4656649,120.92436,22,.6319896,.018514166
1,40,3.4666004,120.95567,22,.63387561,.018707715
1,40.099998,3.4675078,120.98765,22,.63576937,.018903529
1,40.200001,3.4683874,121.02026,22,.6376549,.019101633
1,40.299999,3.4692388,121.0535,22,.63953334,.019302025
1,40.400002,3.470062,121.08738,22,.6413449,.019504741
1,40.5,3.4708571,121.12188,22,.64311385,.019709779
1,40.599998,3.4716241,121.157,22,.64488858,.019917166
1,40.700001,3.472363,121.19272,22,.64667046,.020126924
1,40.799999,3.4730735,121.22905,22,.64838505,.020339053
1,40.900002,3.4737558,121.26597,22,.6502794,.020553587
1,41,3.4744101,121.30348,22,.65205336,.020770526
1,41.099998,3.4750359,121.34158,22,.65372938,.020989889
1,41.200001,3.4756334,121.38025,22,.65540773,.021211704
1,41.299999,3.4762027,121.41949,22,.65713727,.02143597
1,41.400002,3.4767435,121.45928,22,.65879178,.021662716
1,41.5,3.4772561,121.49963,22,.66057515,.02189194
1,41.599998,3.4777403,121.54053,22,.66222954,.022123666
1,41.700001,3.4781959,121.58199,22,.66390741,.022357918
1,41.799999,3.4786232,121.62396,22,.66561913,.022594692
1,41.900002,3.479022,121.66646,22,.66732812,.022834018
1,42,3.4793925,121.70949,22,.66904318,.023075892
1,42.099998,3.4797344,121.75302,22,.67072678,.023320336
1,42.200001,3.4800477,121.79707,22,.67233729,.023567373
1,42.299999,3.4803324,121.84162,22,.6739859,.023816997
1,42.400002,3.4805887,121.88666,22,.67563486,.024069238
1,42.5,3.4808164,121.93219,22,.67719561,.024324089
1,42.599998,3.4810152,121.97819,22,.67880505,.02458157
1,42.700001,3.4811859,122.02467,22,.68041801,.024841703
1,42.799999,3.481328,122.07162,22,.68196768,.025104482
1,42.900002,3.4814425,122.11903,22,.68343973,.025369931
1,43,3.4815288,122.16689,22,.68495589,.025638044
1,43.099998,3.4815874,122.21519,22,.68648797,.025908837
1,43.200001,3.4816184,122.26394,22,.68801552,.026182335
1,43.299999,3.481622,122.31311,22,.68950152,.02645852
1,43.400002,3.4815986,122.36271,22,.69102824,.026737424
1,43.5,3.4815481,122.41273,22,.69255322,.027019031
